,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
0,Bahia,Técnico,Renato Paiva,6.34,0.69,3.37,4.07,2,2,,,,,,,,,,,,,,,,,,,,,110818,265,6,0.0
1,Bahia,Atacante,Vitor Jacaré,12.31,3.02,8.6,9.5,2,2,1.0,,,,,,,,,,,,,1.0,,,,,2.0,,101201,265,5,0.0
2,Palmeiras,Goleiro,Vinicius Silvestre,3.0,0.0,0.0,0.0,0,2,,,,,,,,,,,,,,,,,,,,,85083,275,1,0.0
3,Atlético-MG,Atacante,Hulk,13.19,-1.58,4.0,5.45,2,2,,,,2.0,1.0,3.0,,1.0,,,,,,,,,,,2.0,,39148,282,5,0.0
4,Fortaleza,Meia,Calebe,4.88,-0.73,-0.2,2.25,2,2,,,,,,,,1.0,,,,,,1.0,,,1.0,,1.0,,109461,356,4,0.0
5,Fluminense,Lateral,Alexsander,10.1,3.33,10.5,8.0,2,2,,1.0,,,1.0,,,,,,1.0,,,,,,,,1.0,,118774,266,2,0.0
6,Fluminense,Atacante,Cano,17.74,-2.13,8.55,7.25,2,2,,,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,,79631,266,5,8.55
7,São Paulo,Meia,Michel Araújo,8.17,2.23,7.2,6.2,2,2,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,1.0,,107173,276,4,0.0
8,Corinthians,Zagueiro,Gil,4.68,-1.77,-0.3,0.85,2,2,,,,,,,,,,,,,,,,,,,1.0,,68923,264,3,0.0
9,Bragantino,Meia,Matheus Fernandes,10.64,0.12,2.4,6.35,2,2,,,,,,,,,,,,,,2.0,,,,,,,94067,280,4,0.0
10,Atlético-MG,Zagueiro,Mauricio Lemos,13.88,1.49,5.5,9.35,2,2,,,,,,1.0,,,,,1.0,,,,,,,,,,87853,282,3,0.0
11,Fluminense,Lateral,Samuel Xavier,13.22,2.12,8.0,9.1,2,2,,,,1.0,1.0,,,1.0,,,1.0,,,2.0,,,1.0,,1.0,,73384,266,2,0.0
12,Bragantino,Meia,Bruninho,12.19,6.19,12.9,12.9,1,1,1.0,,,1.0,1.0,1.0,,,,,,,,2.0,,,,,,,113558,280,4,0.0
13,Atlético-MG,Zagueiro,Mauricio Lemos,12.39,6.39,13.2,13.2,1,1,1.0,,,1.0,,1.0,,,,,,,,4.0,,,1.0,,1.0,,87853,282,3,0.0
14,Bragantino,Goleiro,Lucão,2.58,0.58,2.0,2.0,1,1,,,,,,,,,,,,,4.0,,,,1.0,1.0,,,106160,280,1,0.0
15,Grêmio,Meia,Cristaldo,8.84,0.84,5.7,5.7,1,1,,,,1.0,,,,1.0,,1.0,,,,3.0,,,,,,,89846,284,4,0.0
16,Fortaleza,Atacante,Lucero,6.19,-0.81,5.2,2.6,1,1,,,,,,1.0,,,,,,,,2.0,,,,,1.0,,105568,356,5,5.2
17,Bragantino,Atacante,Alerrandro,4.65,-2.35,0.2,0.2,1,1,,,,,,1.0,,,,,,,,,,,,,1.0,,101715,280,5,0.0
18,Athlético-PR,Técnico,Paulo Turra,8.56,3.56,8.26,8.26,1,1,,,,,,,,,,,,,,,,,,,,,82747,293,6,0.0
19,Corinthians,Zagueiro,Bruno Méndez,3.48,-2.52,-0.6,-0.6,1,1,,,,,,,,,,,,,,,,,,,2.0,,103700,264,3,0.0
20,Palmeiras,Lateral,Marcos Rocha,6.26,1.26,4.7,4.7,1,1,,,,,,1.0,,,,,,,,4.0,,,,,2.0,,63013,275,2,0.0
21,Atlético-MG,Atacante,Hulk,14.77,-1.23,6.9,6.9,1,1,,,,3.0,3.0,5.0,,,,,,,,,,,1.0,,2.0,,39148,282,5,0.0
22,Palmeiras,Lateral,Vanderlan,7.74,2.74,7.0,7.0,1,1,,1.0,,,,1.0,,,,,,,,2.0,,,,,3.0,,107236,275,2,0.0
23,Palmeiras,Meia,Gabriel Menino,6.0,-2.0,1.3,1.3,1,1,,,,,1.0,1.0,,,,,,,,,,,,,,,103767,275,4,0.0
