,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
0,Grmio,Meia,Vina,5.62,-1.55,-0.8,2.82,4,4,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,71162,284,4,0.0
1,Grmio,Atacante,Luis Su‡rez,14.18,2.32,13.3,5.63,4,4,1.0,,,,1.0,2.0,,1.0,,,,,,3.0,,,,,,,69318,284,5,0.0
2,Palmeiras,Atacante,Dudu,16.71,1.47,10.2,7.75,4,4,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,68920,275,5,0.0
3,Grmio,Lateral,Diogo Barbosa,8.53,-0.41,0.5,2.97,4,4,,,,,,1.0,,,,,,,,,,,,,,,70916,284,2,0.0
4,Fluminense,Atacante,Cano,16.0,0.29,8.10,5.12,4,4,,,,2.0,3.0,,,,,,,,,1.0,,,,,2.0,,79631,266,5,8.10
5,Fluminense,Zagueiro,Nino,13.51,0.69,5.3,6.65,4,4,,,1.0,,1.0,3.0,,,,,,,,,,,,,,,91708,266,3,0.0
6,AmŽrica-MG,Goleiro,Matheus Cavichioli,7.38,-0.68,-0.3,1.93,4,4,,,,,,,,,,,,,4.0,,,1.0,,1.0,1.0,,72580,327,1,0.0
7,Palmeiras,Meia,ZŽ Rafael,11.76,0.32,6.6,5.7,4,4,,1.0,,,,1.0,,,,,,,,3.0,,,1.0,,5.0,,82455,275,4,0.0
8,Bahia,Zagueiro,Kanu,4.88,-0.53,1.4,2.9,3,4,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,98484,265,3,0.0
9,Fluminense,Meia,AndrŽ,10.69,-0.76,1.4,4.38,4,4,,,,,,,,,,,,,,2.0,,,1.0,,,,107498,266,4,0.0
10,Palmeiras,Lateral,Piquerez,11.5,3.72,15.1,6.63,3,4,,2.0,,,,1.0,,,,,1.0,,,1.0,,,1.0,,2.0,,102130,275,2,0.0
11,Palmeiras,TŽcnico,Abel Ferreira,13.59,1.35,9.68,6.7,4,4,,,,,,,,,,,,,,,,,,,,,110506,275,6,0.0
12,Grmio,Lateral,Diogo Barbosa,8.94,-1.22,-0.8,3.8,3,3,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,70916,284,2,0.0
13,AtlŽtico-MG,Zagueiro,Mauricio Lemos,12.18,-1.7,-0.7,6.0,3,3,,,,1.0,,,,,,,,,,,,,1.0,,3.0,,87853,282,3,0.0
14,Flamengo,Atacante,Pedro,14.33,-0.66,3.6,5.0,3,3,,,,2.0,,,,,,,,,,1.0,,,,,,,94583,262,5,0.0
15,Bragantino,Meia,Matheus Fernandes,11.26,0.62,5.3,6.0,3,3,,,,,,1.0,,,,,,,,4.0,,,,,,,94067,280,4,0.0
16,AtlŽtico-MG,Goleiro,Everson,3.58,-0.64,0.5,2.17,3,3,,,,,,1.0,,,,,,,2.0,,,,1.0,1.0,,,72294,282,1,0.0
17,Flamengo,Zagueiro,Fabr’cio Bruno,10.02,0.94,5.9,5.1,3,3,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,90768,262,3,0.0
