,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
0,Coritiba,Meia,Liziero,4.35,-0.42,1.4,1.9,2,2,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,100761,294,4,0.0
1,Bahia,Meia,Daniel,3.79,-1.21,1.2,1.2,1,2,,,,,,,,,,,,,,1.0,,,,,,,93791,265,4,0.0
2,Vasco,Meia,Alex Teixeira,6.43,1.01,6.9,3.65,2,2,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,2.0,,60793,267,4,0.0
3,Cuiabá,Técnico,Ivo Vieira,5.57,0.91,3.45,3.84,2,2,,,,,,,,,,,,,,,,,,,,,121593,1371,6,0.0
4,Santos,Zagueiro,Messias,7.05,2.28,8.2,5.3,2,2,,,,,1.0,,,,,,1.0,,,2.0,,,,,,,87402,277,3,0.0
5,Vasco,Lateral,Puma Rodríguez,4.69,-0.15,3.4,1.95,2,2,,,,,2.0,,,,,,,,,2.0,,,,,2.0,,99213,267,2,0.0
6,São Paulo,Lateral,Nathan Mendes,4.0,0.0,0.0,0.0,0,2,,,,,,,,,,,,,,,,,,,,,113157,276,2,0.0
7,Coritiba,Goleiro,Gabriel,4.02,0.15,3.0,2.0,2,2,,,,,,,,,,,,,6.0,,,,,3.0,,,70449,294,1,0.0
8,Vasco,Atacante,Pedro Raul,6.43,2.49,8.9,5.0,2,2,1.0,,,1.0,,2.0,,,,,,,,,,,1.0,,1.0,,98225,267,5,0.0
9,Santos,Atacante,Ângelo,4.65,0.78,6.9,2.8,2,2,,,,,,2.0,,,,,,,,3.0,,,,,,,110415,277,5,6.9
10,Goiás,Meia,Fellipe Bastos,5.0,0.0,0.0,0.0,0,2,,,,,,,,,,,,,,,,,,,,,70116,290,4,0.0
11,Coritiba,Zagueiro,Kuscevic,4.01,-0.25,2.6,1.6,2,2,,,,,,1.0,,,,,,,,2.0,,,,,1.0,,98619,294,3,0.0
12,Internacional,Zagueiro,Rodrigo Moledo,3.94,-1.06,1.1,1.1,1,1,,,,,,,,,,,,,,2.0,,,1.0,,1.0,,63354,285,3,0.0
13,Athlético-PR,Técnico,Paulo Turra,8.56,3.56,8.26,8.26,1,1,,,,,,,,,,,,,,,,,,,,,82747,293,6,0.0
14,Grêmio,Lateral,Diogo Barbosa,10.19,5.19,10.8,10.8,1,1,,,,,1.0,1.0,,,,,1.0,,,4.0,,,,,1.0,,70916,284,2,0.0
15,Palmeiras,Atacante,Endrick,8.71,2.71,15.0,7.5,1,1,1.0,,,,1.0,1.0,,,,,,,,,,,,,6.0,,115959,275,5,15.0
16,Grêmio,Meia,Villasanti,4.45,0.45,2.9,2.9,1,1,,,,,,1.0,,,,,,,,2.0,,,,,,,97145,284,4,0.0
17,Fluminense,Lateral,Samuel Xavier,11.1,4.1,10.2,10.2,1,1,,1.0,,,,1.0,,,,,1.0,,,,,,,,1.0,,73384,266,2,0.0
18,Palmeiras,Atacante,Artur,5.68,-1.32,1.8,1.8,1,1,,,,,1.0,2.0,,,,,,,,,,,,,,,95799,275,5,0.0
19,Athlético-PR,Zagueiro,Pedro Henrique,10.58,5.58,11.4,11.4,1,1,1.0,,,,,,,,,,1.0,,,,,,1.0,,2.0,,87225,293,3,0.0
20,Fluminense,Meia,Gabriel Pirani,6.19,2.19,5.6,5.6,1,1,,,,1.0,,4.0,,,,,,,,2.0,,,,,,,110607,266,4,0.0
21,Athlético-PR,Meia,Vitor Bueno,5.74,0.74,3.9,3.9,1,1,,,,2.0,1.0,2.0,,,,,,,,,,,,,1.0,,87552,293,4,0.0
22,Fluminense,Atacante,John Kennedy,11.55,6.55,12.9,12.9,1,1,1.0,,,2.0,,4.0,,1.0,,1.0,,,,1.0,,,1.0,,2.0,,110759,266,5,0.0
23,Atlético-MG,Goleiro,Everson,2.58,-2.42,-1.0,-1.0,1,1,,,,,,,,,,,,,1.0,,,,,2.0,,,72294,282,1,0.0
