,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
0,Cuiabá,Zagueiro,Allyson,3.98,-0.02,1.9,2.05,2,2,,,,,,2.0,,,,,,,,1.0,,,,,1.0,,124340,1371,3,0.0
1,Goiás,Atacante,Vinicius,8.68,1.91,10.35,6.2,2,2,,,,1.0,1.0,1.0,,1.0,,,,,,4.0,,,,,1.0,,68917,290,5,10.35
2,Grêmio,Meia,Bitello,11.43,-0.44,3.4,5.9,2,2,,,,1.0,,2.0,,,,,,,,1.0,,,,,,,112140,284,4,0.0
3,Vasco,Meia,Alex Teixeira,6.43,1.01,6.9,3.65,2,2,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,2.0,,60793,267,4,0.0
4,Fluminense,Meia,Ganso,10.66,0.21,5.3,5.75,2,2,,,,,,4.0,,,,,,,,3.0,,,,,1.0,,62977,266,4,0.0
5,Palmeiras,Atacante,Flaco López,9.4,-0.08,1.4,5.55,2,2,,,,,1.0,,,,,,,,,1.0,,,,,2.0,,113103,275,5,0.0
6,São Paulo,Lateral,Caio Paulista,7.77,2.03,7.4,5.65,2,2,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,102318,276,2,0.0
7,Fluminense,Lateral,Alexsander,10.1,3.33,10.5,8.0,2,2,,1.0,,,1.0,,,,,,1.0,,,,,,,,1.0,,118774,266,2,0.0
8,São Paulo,Goleiro,Rafael,7.49,2.97,12.0,5.5,2,2,,,,,,,,,,,1.0,,7.0,,,,,,,,68928,276,1,0.0
9,Bahia,Atacante,Vitor Jacaré,12.31,3.02,8.6,9.5,2,2,1.0,,,,,,,,,,,,,1.0,,,,,2.0,,101201,265,5,0.0
10,Cuiabá,Zagueiro,Marllon,5.64,0.99,5.0,3.6,2,2,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,70666,1371,3,0.0
11,Cuiabá,Técnico,Ivo Vieira,5.57,0.91,3.45,3.84,2,2,,,,,,,,,,,,,,,,,,,,,121593,1371,6,0.0
12,Bragantino,Atacante,Talisson,3.1,2.1,3.8,3.8,1,1,,,,1.0,,1.0,,,,,,,,2.0,,,,,1.0,,122393,280,5,0.0
13,Atlético-MG,Goleiro,Everson,2.58,-2.42,-1.0,-1.0,1,1,,,,,,,,,,,,,1.0,,,,,2.0,,,72294,282,1,0.0
14,Corinthians,Zagueiro,Bruno Méndez,3.48,-2.52,-0.6,-0.6,1,1,,,,,,,,,,,,,,,,,,,2.0,,103700,264,3,0.0
15,Palmeiras,Lateral,Marcos Rocha,6.26,1.26,9.4,4.7,1,1,,,,,,1.0,,,,,,,,4.0,,,,,2.0,,63013,275,2,9.4
16,Palmeiras,Meia,Gabriel Menino,6.0,-2.0,1.3,1.3,1,1,,,,,1.0,1.0,,,,,,,,,,,,,,,103767,275,4,0.0
17,Grêmio,Meia,Villasanti,4.45,0.45,2.9,2.9,1,1,,,,,,1.0,,,,,,,,2.0,,,,,,,97145,284,4,0.0
18,Fluminense,Atacante,John Kennedy,11.55,6.55,12.9,12.9,1,1,1.0,,,2.0,,4.0,,1.0,,1.0,,,,1.0,,,1.0,,2.0,,110759,266,5,0.0
19,Palmeiras,Atacante,Endrick,8.71,2.71,7.5,7.5,1,1,1.0,,,,1.0,1.0,,,,,,,,,,,,,6.0,,115959,275,5,0.0
20,Athlético-PR,Lateral,Pedrinho,7.48,3.48,7.6,7.6,1,1,,,,,,1.0,,,,,1.0,,,2.0,,,,,1.0,,110995,293,2,0.0
21,Athlético-PR,Técnico,Paulo Turra,8.56,3.56,8.26,8.26,1,1,,,,,,,,,,,,,,,,,,,,,82747,293,6,0.0
22,Bragantino,Zagueiro,Natan,6.52,0.52,4.1,4.1,1,1,,,,,,1.0,,,,,,,,3.0,,,,,,,107110,280,3,0.0
23,Athlético-PR,Meia,Vitor Bueno,5.74,0.74,3.9,3.9,1,1,,,,2.0,1.0,2.0,,,,,,,,,,,,,1.0,,87552,293,4,0.0
